star_name,gaiadr3,vsini,e_vsini
TIC 234831602,3130091149360313984,4.6,
TIC 368607344,536088338900732544,0.7,
TIC 87142854,3385944618922660736,11.0,
TIC 220204291,3326573774163806336,3.8,
TIC 252872174,992524409046563840,3.7,
TIC 353436550,3382815271394515072,2.8,
TIC 56748852,3378123861436589952,4.8,
TIC 301780349,3113909602378333056,3.6,
TIC 58853031,3379989457790428416,0.7,
TIC 252924197,978615483876384000,0.7,
TIC 13961725,2804011562888218240,4.2,
TIC 351961693,532855499837123584,3.6,
TIC 87752739,884951489919636352,0.0,
TIC 87869692,882872210352301568,6.3,
TIC 284620820,3111942885310862848,4.2,
TIC 16045498,898639447612575104,0.8,
TIC 6677245,3053492881541641600,4.2,
TIC 289971775,1139252071109797760,1.6,
TIC 130181866,875071278432954240,7.7,
TIC 4624167,880495478530513920,3.1,
TIC 293253336,670216834655936128,1.6,
TIC 123089572,3082317193037072256,0.0,
TIC 171523537,876370076542359936,1.0,
TIC 27549653,656546537868692480,3.6,
TIC 81041820,1035000055055287680,6.2,
TIC 172773052,903348277956806528,4.5,
TIC 23652211,917982605923642752,13.2,
TIC 168942250,3076296890133768448,4.1,
GAIA DR3 3077874483161655552,3077874483161655552,5.6,
TIC 445050085,1031072805679914880,2.9,
TIC 332147244,711192403208467968,3.6,
TIC 262604383,581201571564630784,0.8,
TIC 459056725,596878550087942528,4.4,
TIC 196841006,373349657227961472,8.2,
TIC 126236473,692554890842416384,5.9,
TIC 348837162,5730371484020807808,3.2,
TIC 88646759,718976395775952256,7.7,
TIC 468723402,560130775546153344,0.9,
TIC 172533278,646255212109355136,6.7,
TIC 407591082,747266452000257280,2.4,
TIC 277712053,3835867938104798848,1.9,
TIC 39777146,806000816970521728,2.7,
TIC 416519879,1047559604579391872,3.2,
TIC 229651583,723944775287648256,4.6,
TIC 398018469,532057254394731776,3.0,
TIC 365006720,3865002247461685248,3.3,
TIC 425282449,3815264842546968192,3.7,
TIC 82308728,3997075206232885888,1.3,
GAIA DR3 3534414590303807232,3534414590303807232,9.7,
TIC 99989598,862759874936898816,12.4,
TIC 248448574,3214665240169427072,16.1,
TIC 176941311,3581001280225616128,8.4,
TIC 142277151,1579858609793019264,44.1,
TIC 420752443,3666334755614176512,32.3,
TIC 213739541,4288446406092128640,49.3,
TIC 4748040,5173902189571919872,8.3,
TIC 421444084,2190258605992864896,8.7,
TIC 6029884,3640828731549972480,17.1,
TIC 334753043,1372702716380418688,4.2,
TIC 181946967,3649422995468596480,16.0,
TIC 77549389,3837697972130323456,32.2,
TIC 161825882,1623289903206300928,30.7,
TIC 34576133,129070265532645888,5.1,
TIC 387609654,8479094371605632,3.6,
TIC 332146607,709910784966516992,6.9,
TIC 393884636,772395274857111552,2.7,
TIC 49673617,2630815941525069696,4.3,
TIC 434229836,3304412601908736512,7.1,
TIC 415563103,3345968334645285376,4.6,
TIC 51443167,5755064487956174720,5.2,
TIC 25559430,1846882224145757056,7.4,
