,star_name,TSS_tier,ra,dec,Teff,sy_dist,Vmag,Ksmag,Age,vsini_adopt,e_vsini_adopt,r_vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,RHK_calculated_pyastro,prot_adopt,r_prot_adopt,tau_cranmer11,act_cycle_adopt,phot_jitter_adopt
7023,TIC 422130833,3,193.64386791968,-29.85517516427,3938.0,44.911746978759766,11.63,8.315,,,nan,nan,,,,,18.0482,2026arXiv260305586B,41.80677808708232,,1384.0
7024,TIC 145015441,3,193.64755495346,-38.18649629138,3973.0,46.78190231323242,11.703,8.229,,,nan,nan,,,,,,nan,41.062336550410244,,
7025,TIC 261989593,3,193.65249573159,-58.60921574405,4901.0,40.290889739990234,9.53,7.189,13.136,3.0,1.1,2007A&A...475..519H,,,,,9.4863,2026arXiv260305586B,25.21786254908357,,3048.0
7026,TIC 198285529,3,193.66673166387,22.10793274863,6013.0,35.04105758666992,7.0,5.553,4.601,11.0,1.1,2007A&A...475..519H,0.267,-4.52,-4.462196634432566,-4.501373307502648,4.675234,2023ApJS..268....4F,8.776582467796741,,3400.087373
7027,TIC 954121825,3,193.66710403708,22.10815826555,,35.24788284301758,,,,,nan,nan,,,,,,nan,,,
7028,TIC 17665863,3,193.69369170408,40.06023019491,3643.0,36.45208740234375,12.501,8.415,,,nan,nan,,,,,,nan,48.63409238233332,,
7029,TIC 319361376,3,193.73336288407,-6.33860357126,4652.0,39.70790481567383,10.413,7.579,12.472,,nan,nan,,,,,18.4668,2026arXiv260305586B,28.86769569010543,,1416.0
7030,TIC 248127641,3,193.74392368356,-44.15192011203,5970.0,37.51204299926758,5.89,4.478,4.294,5.0,1.1,2007A&A...475..519H,0.135,-5.2695,-5.008985681471188,-5.208263799869564,,nan,9.530745616785714,,
7031,TIC 359119757,3,193.78443389197,27.76635967717,5665.0,42.973968505859375,7.79,6.187,,1.27,0.98,2020ApJ...898..119R,0.15315,-4.864,-4.963528152347325,-5.073668563511318,,nan,14.561377970595316,,
7032,TIC 142319244,2,193.86895839441,65.43847441149,7157.78,29.422603607177734,5.225,4.425,1.085,119.6,nan,2009A&A...493.1099S,0.268,,-4.358937676343949,,,nan,0.002082572936490073,,
7033,TIC 88116985,3,193.89588114648,12.31163021654,3821.0,39.67771911621094,11.967,8.391,,,nan,nan,,,,,7.899446,2023ApJS..268....4F,44.392986664190474,,627.690742
7034,TIC 17668162,3,194.00179861326,38.31485230689,7015.0,32.65212631225586,5.6,4.746,1.281,20.0,1.1,2007A&A...475..519H,0.2542,,-4.387811126583531,,,nan,0.004924252816948246,,
7035,TIC 17668155,3,194.00689284559,38.31835837138,11300.0,37.6372,2.88,3.145,,,nan,nan,,,,,5.450357,2023ApJS..268....4F,0.002,,24213.979849
7036,TIC 103698218,3,194.01680981378,-30.33095456379,4036.84,45.72037506103515,11.59,8.179,,,nan,nan,,,,,15.278,2026arXiv260305586B,39.73772251268749,,1634.0
7037,TIC 6012575,3,194.05556412484,-22.08294083549,3471.0,19.749643325805664,12.523,8.053,,,nan,nan,,,,,,nan,53.11442534067782,,
7038,TIC 228761127,3,194.12531765083,-24.92547599524,4299.71,30.9883975982666,10.029,7.008,,,nan,nan,,,,,16.1863,2026arXiv260305586B,34.70441898155915,,1716.0
7039,TIC 17668753,3,194.16343580153,36.86591960022,4565.33,39.332420349121094,10.1,7.359,8.514,,nan,nan,,,,,10.1256,2026arXiv260305586B,30.220522902901152,,4855.0
