,star_name,TSS_tier,ra,dec,Teff,sy_dist,sy_vmag,Age,vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,prot_adopt,r_prot_adopt,act_cycle_adopt,phot_jitter_adopt
7392,TIC 379050682,3,203.73935137752,10.79603053937,4220.55,44.033935546875,10.972,,,,,,10.882699,fetherolf24,,401.716778
7393,TIC 379052876,3,203.77634440229,6.84101390699,4785.19,31.00489616394043,8.93,,,0.277833333333,,-4.692377122576096,,nan,,
7394,TIC 417170117,3,203.78828132997,24.80664220688,5556.9,49.044212341308594,8.82,0.33,,,,,,nan,,
7395,TIC 286924945,3,203.78934828008,50.65467081274,3594.56,44.28102493286133,12.5,,,,,,,nan,,
7396,TIC 261275274,3,203.7976731392,-48.35713711802,3718.0,19.633289337158203,11.53,,,,,,,nan,,
7397,TIC 207386596,3,203.79769259397,22.49980667331,6243.0,34.57989501953125,6.925,,1.0,,,,,nan,,
7398,TIC 417986483,3,203.81716923876,30.18240729805,3857.0,38.91069030761719,11.667,,,,,,,nan,,
7399,TIC 459225217,3,203.84617850781,62.9081198788,4830.52,41.60034942626953,9.48,,,,,,,nan,,
7400,TIC 294303016,3,203.84922148526,-14.55468211505,3789.85,49.84229278564453,12.749,,,,,,,nan,,
7401,TIC 157838641,3,203.85321817878,-0.38910182692,3914.0,19.244239807128903,10.27,,,,,,,nan,,
7402,TIC 288487378,3,203.85893608102,43.76577620541,4224.49,42.05290222167969,10.96,,,,,,0.62257,fetherolf24,,202.396753
7403,TIC 288487800,3,203.87149066185,46.5585804893,4539.07,43.18171310424805,10.85,,,,,,,nan,,
7404,TIC 357533284,3,203.88187358695,-22.02455991949,6361.3,49.81146240234375,7.11,3.235,8.0,,,,,nan,,
7405,TIC 357531989,3,203.92583566314,-18.25348955403,3871.0,24.19564247131348,11.08,,,,,,8.772958,fetherolf24,,143.250714
7406,TIC 95566385,3,203.96148909082,14.68660349055,3453.0,25.145856857299805,12.399,,,,,,,nan,,
7407,TIC 243288142,3,203.96228318715,-45.61977790753,3707.0,49.50029373168945,12.58,,,,,,13.748,watson06,,
