hpic_name,gaia_dr3_id,Prot(d),Prot_err(d),amp_g(mag),amp_g_err(mag)
TIC 316965103,449929164637372928,4.934665650776321,0.22134519,0.028049046,0.0019815785
TIC 72702601,468401161843923200,5.626416421169364,0.30170897,0.015674599,0.0011895108
TIC 445501347,505516521175942784,1.3818493907101164,0.02942455,0.038984817,0.0049106046
TIC 4973363,745219500651501184,6.2008251534001735,0.79088247,0.0157309,0.0048986003
TIC 8245026,756153422235484160,15.435099236264946,1.564073,0.03517449,9.891731E-4
TIC 453428169,825160940954112128,4.016875498492,0.024333885,0.041579355,0.0031662832
TIC 86232609,1040191742802868992,2.81962133752422,0.2924487,0.028738478,0.001288038
TIC 468828186,1105408965770145920,7.485252344262993,0.6690092,0.013710266,0.0014720649
TIC 28199266,1258410750415492864,7.889030522823066,0.310879,0.015594016,7.669692E-4
TIC 357500019,1263985102569989504,11.387794926022947,0.09344618,0.028879207,0.0020985508
TIC 22745718,1474985575828843392,6.334273245008822,0.11121239,0.013809026,8.6402625E-4
TIC 27415380,1484942233437321728,0.369212624213471,8.812812E-5,0.07123857,0.0028474787
TIC 23708421,1496976598656622848,20.909233023920137,0.018193489,0.025499685,0.0013316487
TIC 165916576,1515952176488267008,4.132987962129796,0.04008071,0.046468202,0.002367693
TIC 283436283,1797276382668029440,0.42449373002694124,0.0018905469,0.10327645,0.0012438723
TIC 15460279,1798971206825676288,7.067608115411784,0.068241894,0.01556934,0.0033662668
TIC 314051148,1829571684890816384,1.128503393484457,3.5424405E-4,0.07358333,0.0025402764
TIC 408479509,1843206728575513472,0.7523721829015998,0.045952644,0.031236686,0.0019951179
TIC 163472098,1852560823752552960,8.114124772006466,0.77861047,0.020674191,0.0017671689
TIC 128692839,1908034002868373376,4.294540148217906,0.06433705,0.016548632,0.002205035
TIC 455756014,1920997794711376640,4.613226338825008,0.21599747,0.037084974,0.0036625192
TIC 352503796,1923896725839633024,1.4169974827084157,0.001274127,0.03459638,0.0025658421
TIC 236671835,1948709198586896384,8.867482603782408,0.48321885,0.011439425,0.0012392112
TIC 380881837,2372235648763459200,11.607173159689125,1.6354158,0.023664925,0.0013515126
TIC 262039243,2400808245117576704,1.9914949769276324,0.04712812,0.051765133,0.0026256482
TIC 9788099,2442278696981886976,16.007525933032532,0.6133949,0.015875718,9.8553E-4
TIC 423387879,2491709509950009728,3.168883764480925,0.0104247155,0.009814313,8.179519E-4
TIC 466335247,2700417192226894976,3.0602760934406152,0.14736348,0.029727953,0.0035951275
TIC 25799110,2808451627064095232,2.047685008976483,0.0017919033,0.043782163,0.0023037915
TIC 97173329,2818377919256477568,3.1084361673853333,0.012711206,0.05838648,0.0019627083
TIC 99828446,2927966140130476672,2.8785663735986606,0.005370464,0.018751413,0.0018275273
TIC 288158059,2940796611884222208,2.3837546131766696,0.07237296,0.008642161,8.656446E-4
TIC 442922961,2988914234310915840,9.5309623275485,0.7413675,0.013575472,0.0017987255
TIC 67168206,3018681140809571072,3.8176871502318095,0.08697837,0.0032551803,9.318103E-4
TIC 423126653,3026564158149723904,3.6751553055842345,0.25905403,0.0104042245,5.9540535E-4
TIC 249064742,3208718772048835968,8.181904064593816,0.4503163,0.00830771,8.7746244E-4
TIC 245937103,3307992336891315968,3.5127200507278684,0.46870458,0.013853232,0.0016882062
TIC 245795626,3312899491645515776,3.8038152358559043,0.3658668,0.0081137875,7.8234816E-4
TIC 18644870,3413567782690754688,0.4890905235037067,3.5145145E-5,0.08303323,0.0028040728
TIC 415779887,3514475531051071488,0.6710370424626015,1.950772E-4,0.038372554,0.0010964453
TIC 94924490,3694842171545206656,2.128774575733778,0.14419232,0.01308857,0.0012567715
TIC 88190352,3737299190281888256,3.182632293922381,0.015185941,0.03184043,0.0022001353
TIC 453050688,3851679946103991296,5.827240834945522,0.15372309,0.011705063,0.0019326358
TIC 329574121,4038724053950164096,1.1642904474795508,1.6452343E-4,0.021036986,0.0036640584
TIC 224111829,4294401017483744768,0.7846396423081795,6.604324E-4,0.11393353,0.0016290782
TIC 40849632,4338433743723131648,5.079743095815744,0.07283399,0.03162637,0.0020688653
TIC 189843364,4365609170043180416,1.20425083961212,0.010831228,0.031265616,0.0051341397
TIC 188272639,4403160790662050176,2.2290475513392396,0.018879952,0.042175893,0.0018289884
TIC 266115584,4440448734652648064,6.410178962048264,0.43206263,0.027103543,0.0017851415
TIC 291141803,4458736739757931776,6.81198061663645,0.10224316,0.011805206,0.0010400101
TIC 349650675,4485780087237068160,3.604866225763774,0.37820315,0.020327577,5.8825035E-4
TIC 314604460,4512584531472778496,1.45198735514341,0.05068797,0.061628923,9.63203E-4
TIC 345356533,4564094692709195392,5.231126012813711,0.01283912,0.020157281,0.0014307417
TIC 201753428,4714952567121408256,1.6029595967254726,0.0032698554,0.09749352,0.0017834594
TIC 178805087,4896480390678599168,17.450213077014823,0.33610934,0.021609545,0.0032999709
TIC 41858828,5012668876763296256,1.1574582750634659,0.01613371,0.042084083,0.0037873546
TIC 88479623,5074604160596736640,0.6828285388915383,2.8687664E-5,0.08034433,0.0018088238
TIC 144539611,5086152743542494592,3.728475946627969,0.45612276,0.041645344,0.0010768865
GAIA DR3 1851868127125091840,1851868127125091840,0.5957719398909406,0.006639594,0.051513035,0.013661979
GAIA DR3 2924599091919101568,2924599091919101568,9.601383470510683,0.16817829,0.0211913,7.403287E-4
GAIA DR3 2991362056431878912,2991362056431878912,2.5222349260994723,0.16465245,0.06461748,0.0044523394
