,star_name,gaiadr3,HD,logRHK
546,TIC 219834010,1279838754572750336,130215,-4.510
547,TIC 416612744,1234693112077611008,,
548,TIC 28217499,1294776032353235968,,
549,TIC 1121747913,5848544412516688896,130042,-4.890
550,TIC 129383,6229442835525861376,130992,-4.840
551,TIC 311182515,1265702917689682944,131582,-4.730
552,TIC 161058448,1606148310770764288,132142,-5.015
553,TIC 167121,6225341450996268032,131719,-4.510
554,TIC 309765388,1592338513445876736,132254,-4.980
555,TIC 289074137,5901924435035073536,131923,-4.950
556,TIC 405504412,1614477420588506112,,
557,TIC 334137017,5908246317645043712,,
558,TIC 440887364,6230733559097424896,,
559,TIC 192679501,6313600142709958656,132683,-4.570
560,TIC 257022710,1701045647535157760,,
561,TIC 334644751,5906633952564271104,132648,-4.890
562,TIC 334844739,5906724284318405632,,
563,TIC 460381297,1156846524895814144,,
564,TIC 20204058,1291886309636988416,134044,-4.940
565,TIC 160888288,6003743571137684480,,
566,TIC 454901855,5876112300125320192,134060,-4.965
567,TIC 61397572,6226694571859532800,134987,-5.045
568,TIC 38838329,4418203587193988608,135204,-5.000
569,TIC 38840951,6336170195850218496,,
570,TIC 232563914,1645425614893967872,136064,-5.000
571,TIC 262457542,5798962867668048896,134606,-5.020
572,TIC 461272840,4419140645978988032,135599,-4.550
573,TIC 438893825,6256550916751399936,,
574,TIC 357501308,1272123859439770368,,
