,star_name,gaiadr3,HD,logRHK
199,TIC 442893646,2983256662869643776,34865,-4.390
200,TIC 47345026,3394298532176345088,35171,-4.340
201,TIC 167756732,4819591920506512384,35650,-4.210
202,TIC 24398701,2904830113367963136,35854,-4.835
203,TIC 94945758,3009908378049913344,35850,-4.125
204,TIC 149176305,4759543295545939968,36435,-4.440
205,TIC 50587969,3210731015768095744,36003,-4.950
206,TIC 149248196,4660766641264344064,36705,-3.820
207,TIC 92988866,2963680098856000000,37065,-4.820
208,TIC 290716990,4795596831576255488,,
209,TIC 290716988,4795598309045006336,37572,-4.135
210,TIC 261136679,4623036865373793280,39091,-4.890
211,TIC 220616719,4796263715442782208,37706,-4.805
212,TIC 144516963,4809292588930619392,,
213,TIC 416882160,263696736979837312,37216,-4.500
214,TIC 46686960,2972016080621222400,37986,-4.990
215,TIC 93281916,2966790170574625280,38382,-4.920
216,TIC 389506883,4657193606465369088,39194,-5.050
217,TIC 70658312,283569928616960768,,
218,TIC 426400173,3456337827237371392,38230,-4.993
219,TIC 231824922,4768170579173553152,38973,-4.910
220,TIC 66653445,3010782833390635008,,
221,TIC 176521059,3023711269067191296,38858,-4.893
222,TIC 281913005,3315907411861516288,39715,-4.670
223,TIC 160301039,2966316109264051200,39855,-4.870
224,TIC 39543054,3022685626580347392,40397,-4.965
225,TIC 429438609,3423169272278001664,250268,
226,TIC 158111564,5567900121118276608,41700,-4.360
227,TIC 260043481,5494452847462040576,42286,-4.930
228,TIC 400316888,3453257133093515776,41330,-5.003
229,TIC 150098542,5480937375656689664,42505,-4.510
230,TIC 468828186,1105408965770145920,,
231,TIC 153289168,3319126988068404224,42618,
232,TIC 339551974,1007904858732031104,,
233,TIC 124494439,2913411183149615616,43162,
234,TIC 468874310,1107458592882148096,42250,
235,TIC 59545062,3369088315397964800,43947,-4.950
236,TIC 238949177,5553647083168192512,44594,-4.940
237,TIC 265811235,3124542635730704896,288595,
238,TIC 60175114,2937651222655480832,44573,-4.560
239,TIC 150322340,5481848424118749184,45270,-4.320
240,TIC 49669659,2924339469735490560,44821,-4.490
241,TIC 232022864,5569858798004395008,45289,-4.995
242,TIC 49831913,2898239468873596928,45184,-4.907
243,TIC 430173956,3372159045216183296,45088,-4.273
244,TIC 48622550,2899947933845777920,45588,-4.930
245,TIC 144135094,942860190374658688,45391,-4.850
246,TIC 84859050,3432427499483568128,257886,
247,TIC 24952049,3000225425824867328,45977,-4.580
248,TIC 167303382,5279965341800818688,47252,-4.935
249,TIC 147899379,5570642264461521920,,
250,TIC 737712786,5550862879207743488,,
251,TIC 307943195,3352152743956693504,47127,-5.020
252,TIC 375058105,5479782647926975488,,
253,GAIA DR3 5580750457110689408,5580750457110689792,,
254,TIC 333619257,2947463298779960832,48286,-4.710
255,TIC 172734582,2918894859953947648,48938,-4.865
256,TIC 52687259,5584019442620181504,49095,-4.690
257,TIC 240153098,937667952871051776,263175,-4.790
258,TIC 68246758,940226275910700544,,
259,TIC 88228576,1003351437484254464,48948,
260,TIC 281812116,3113219383954556416,49933,
261,TIC 53688090,5609058277323483136,50806,-5.127
262,TIC 58853031,3379989457790428160,51419,-4.850
263,TIC 167814656,5479222240596469760,53143,-4.505
264,TIC 268565917,3101382419728401408,52265,-4.970
265,TIC 14337611,1002898644851988352,,
266,TIC 63571394,2920772722738017792,52698,-4.610
267,TIC 270889166,3153772873178431488,52456,-4.710
268,TIC 125409404,3052753116376444928,52919,-4.630
269,TIC 130645536,5559265690666326016,53705,-4.925
270,TIC 130645531,5559265690666327040,53706,-5.000
271,TIC 91842379,884039857341503616,,
272,TIC 87752739,884951489919636352,53927,-4.870
273,TIC 177524050,3046660035248293888,54359,-4.740
274,TIC 87869692,882872210352301568,54371,-4.350
275,TIC 306658481,3032390401547521024,,
276,TIC 344081664,5505483938387763200,55720,-4.925
277,TIC 101722543,870758684590736896,55458,-5.040
278,TIC 371148289,890234402772937472,56124,-4.900
279,TIC 147794951,1108183342844837888,56168,-4.450
280,TIC 14494641,3163201979956736000,57901,-5.030
281,TIC 291635915,5493588665684619264,59468,-4.947
282,TIC 60847893,3362649918901844480,58781,-5.030
283,TIC 239137106,892215482207937152,,
284,TIC 173673173,5586381090520539136,59967,-4.370
285,TIC 247116238,3165287719154543104,59582,
286,TIC 7131321,3054448838181163520,60491,-4.377
287,TIC 267461550,5492574125690123264,61214,-4.390
288,TIC 65673065,3060788519149063680,,
289,TIC 367587739,989296208547041792,60272,
290,TIC 66100263,3057712223051571200,61606,-4.400
291,TIC 309632151,981900721539947136,,
292,TIC 268181496,5493209501673364480,63008,-4.400
293,TIC 268181483,5493209437253410816,,
294,TIC 266809077,3088637946087230464,,
295,TIC 130181866,875071278432954240,63433,-4.376
296,TIC 128902569,5602386058511578112,,
297,TIC 293253336,670216834655936128,64468,-5.040
298,TIC 289971775,1139252071109797760,62613,-4.855
299,TIC 372914091,5291028181119851520,65907,-4.823
300,TIC 25994436,3083867749248355328,65277,-4.940
301,TIC 129997166,5698188160215537664,65486,-4.490
302,TIC 152160824,5545537291566200832,65721,-4.740
303,TIC 171523537,876370076542359936,65583,-4.973
304,TIC 306735869,5274724279107404800,67199,-4.713
305,TIC 139196106,905437831085898752,,
306,TIC 154234114,5596797039059063808,67458,-4.927
307,TIC 422142487,5725122999630403584,68146,-4.870
308,TIC 252994598,935525039066950528,,
309,TIC 125247681,5726415887862018048,,
310,TIC 145972795,5548164986925168640,68978,-4.890
311,TIC 27679101,650337664425397632,68834,-4.450
312,TIC 286069970,5320952798822551552,69655,-4.853
313,TIC 139346470,708608825759209088,,
314,TIC 455179026,3089675232224087040,,
315,TIC 183356952,5540006949934104576,70642,-4.897
316,TIC 27304566,918107434852949888,71148,-4.905
317,TIC 73395090,1090049716041842816,,
318,TIC 393844873,5640565607657897984,72673,-4.943
319,TIC 121286109,3073562610873679872,72760,-4.370
320,TIC 99059026,914988876279362560,72614,-4.940
321,TIC 468986279,594989348593414016,72945,-4.870
322,TIC 66189398,3057712188691831808,,
323,TIC 468986285,594989417312890368,72946,-4.550
324,TIC 180664865,5528591961953902592,73524,-4.930
325,TIC 51443167,5755064487956174848,73350,-4.510
326,TIC 458680441,595390807776621824,73512,-4.890
327,TIC 417762326,1092545710514654464,72905,-4.380
328,TIC 443965212,602079652404802688,73667,-4.987
329,TIC 51624556,5755182715519422464,,
330,TIC 20118918,916639586829792640,73554,
331,TIC 285833485,5524815861065006080,74385,-4.695
332,TIC 181273463,5528866839863569408,74576,-4.325
333,TIC 67587993,913325109028988288,74377,-4.920
334,TIC 181741837,5524982093479503872,75289,-4.963
335,TIC 444008058,583108060303234944,,
336,TIC 284898141,716109930305855360,75332,-4.495
337,TIC 459056725,596878550087942528,75767,-4.530
338,TIC 382969293,5317114850417299456,76653,-4.380
339,TIC 188503588,717094512905486976,76218,-4.423
340,TIC 118684311,5704545811310308352,,
341,TIC 203214233,684865658135318144,,
342,TIC 348837162,5730371484020807680,76932,-4.720
343,TIC 437059374,610304720935037184,77175,
344,TIC 1192946,5730445323098531840,77825,-4.350
345,TIC 19976193,5743705394673617920,,
346,TIC 18428158,5624529024402652160,,
347,TIC 35229531,607464716759460480,79096,-4.740
348,TIC 386569405,5300714225746375680,80545,-4.770
349,TIC 290553722,3844124407140189184,80367,-5.040
350,TIC 277533870,5746426720312132608,80632,-4.670
351,TIC 251091428,1019174509319377536,80355,
352,TIC 156817668,812477352773908608,80715,-3.990
353,TIC 198084905,1124490096714712960,80768,
354,TIC 415733167,1144584084028819072,,
355,TIC 341660109,5970189332424492032,,
356,TIC 383188202,3852570413083922944,82106,-4.435
357,TIC 24972344,5630532113072532480,82342,-5.070
358,GAIA DR3 633143119335924736,633143119335924736,,
359,TIC 46907042,5739942011185494016,82558,
360,TIC 172533278,646255212109355136,82443,-4.185
361,TIC 405485269,5691782130578684928,82943,-4.860
362,TIC 91968683,641154096631794432,,
363,TIC 455277453,3846345523708141568,,
364,TIC 35055332,5412947081295025152,85512,-4.900
365,TIC 275251307,3847123707357532672,,
366,TIC 332710428,5686377893489291264,86972,-4.420
367,TIC 115810824,809812274026643328,86856,
368,TIC 26073633,3766401961693098496,87424,-4.445
369,TIC 407591082,747266452000257280,87883,-4.890
370,TIC 841336692,1126456229662509568,,
371,TIC 71094440,5459060117921482752,88742,-4.720
372,TIC 39777146,806000816970521728,89269,-4.915
