,angDist,Name,SimbadName,HIP,B-V,VMAG,GSVal,log(R'HK),Per,l_log(Age),log(Age),Svalues,_RA,_DE,recno,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP_1,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID
590,0.440618,17037,HIP 12764,12764,0.534,3.85,0.157,-4.95,11.0,,9.67,Svalues,41.0039,-6.0093,177,36757950,41.00401515349,-6.00934318882,41.005,-6.009,90,12764,4705-01048-1,420-003387,02440093-0600335,,J024401.03-060033.4,5184015909840867328,2905195,,STAR,tmgaia2,tmgaia2,123.888,1.011,14.129,0.735,gaia2,24.394,0.393,gaia2,7.564,0.0,7.063,0.023,,,,,,,,,,,6.121,0.019,5.849,0.033,5.798,0.02,AAA-111-111-ddd-0-0,5.731,0.124,5.661,0.048,5.782,0.014,5.727,0.042,6.93501,0.000412,6.572,0.006,gbprp,spect,6212.0,148.3,4.3296,0.0926,0.0818,0.0086,1.241,0.069,1.2,0.176,0.6277,0.1605,DWARF,2.06644,0.10104,40.965,0.6648,0.0,0.0,36,0.0042,,,0.005258,0.0,0.0,,0.13,0.222,0.064,0.075,0.1605,0.1605,0.0977,0.0875,0.11599,0.08609,0.6542,0.6754,bj2018,159.2,137.5,spect,7.2242,0.002781,6.53613,0.002005,1,sirful,apassdr9,,15.69683046991,11.39709298687,41.00455150751,-6.00928235675,0.44502215883,0.31747036035,1,0,519555701
592,0.217799,16895,HIP 12777,12777,0.514,3.85,0.152,-4.97,10.0,,9.7,Svalues,41.0499,49.2284,178,302158903,41.04995061767,49.22845067103,49.228,41.052,0,12777,3304-02737-1,697-019123,02441197+4913423,,J024412.13+491342.8,438829629113960704,54213109,,STAR,tmgaia2,tmgaia2,333.779,0.726,-89.722,0.525,gaia2,89.6955,0.3006,gaia2,4.587,0.022,4.107,0.023,,,,,,,,,,,3.031,0.244,2.863,0.206,2.697,0.288,DCD-333-111-000-0-0,1.87,,2.442,0.498,3.222,0.019,2.831,0.018,3.98039,0.005581,3.616,2.214,gbprp,spect,6196.0,106.5,4.2703,0.0771,0.06,0.1,1.323,0.052,1.19,0.159,0.5136,0.1041,DWARF,2.32511,0.08038,11.1455,0.0376,0.0,0.0,286,0.019,,,0.000577,0.0,0.0,,0.136,0.182,0.033,0.072,0.1022,0.106,0.0795,0.0747,0.0944,0.06636,0.0375,0.0377,bj2018,94.1,118.9,spect,4.27382,4.27382,3.58449,0.004213,1,sirful,tycho2b3,,12.3734607754,8.14222858432,41.05215123914,49.22806439016,0.28687250059,0.21901302349,1,0,38019231
593,0.217799,16895,HIP 12777,12777,,9.36,1.604,,,,,Svalues,41.0499,49.2284,179,302158903,41.04995061767,49.22845067103,49.228,41.052,0,12777,3304-02737-1,697-019123,02441197+4913423,,J024412.13+491342.8,438829629113960704,54213109,,STAR,tmgaia2,tmgaia2,333.779,0.726,-89.722,0.525,gaia2,89.6955,0.3006,gaia2,4.587,0.022,4.107,0.023,,,,,,,,,,,3.031,0.244,2.863,0.206,2.697,0.288,DCD-333-111-000-0-0,1.87,,2.442,0.498,3.222,0.019,2.831,0.018,3.98039,0.005581,3.616,2.214,gbprp,spect,6196.0,106.5,4.2703,0.0771,0.06,0.1,1.323,0.052,1.19,0.159,0.5136,0.1041,DWARF,2.32511,0.08038,11.1455,0.0376,0.0,0.0,286,0.019,,,0.000577,0.0,0.0,,0.136,0.182,0.033,0.072,0.1022,0.106,0.0795,0.0747,0.0944,0.06636,0.0375,0.0377,bj2018,94.1,118.9,spect,4.27382,4.27382,3.58449,0.004213,1,sirful,tycho2b3,,12.3734607754,8.14222858432,41.05215123914,49.22806439016,0.28687250059,0.21901302349,1,0,38019231
594,0.143176,,HIP 12781,12781,1.53,11.18,0.886,,,,,Svalues,41.0646,25.5234,180,436856183,41.06462257578,25.52336584314,41.069,25.522,90,12781,1772-00986-1,,02441537+2531249,,,114207651462714880,,,STAR,tmgaia2,tmgaia2,864.812,0.111,-363.343,0.116,gaia2,130.187,0.0605,gaia2,12.315,0.258,10.55,0.1,,,,,,,,,,,6.752,0.018,6.197,0.017,5.961,0.021,AAA-111-111-000-0-0,,,,,,,,,9.46046,0.000788,8.278,0.008,cdwrf,cdwrf,3430.0,157.0,4.8559,0.0012,,,0.369,0.011,0.356,0.02,7.0971,0.2317,DWARF,0.01695,0.00414,7.6796,0.0036,0.0,0.0,61,0.0003,,,0.020692,0.0,0.0,,,,,,,,,,,,0.0036,0.0036,bj2018,,,cdwrf,10.8419,0.002657,8.33778,0.002733,1,cdwrf,tycho2b,cooldwarfs_v8,1.76074416929,1.79892848217,41.06874874637,25.52180150743,0.05320892726,0.0459709875,1,0,38153800
595,0.215689,17152,HIP 12797,12797,0.772,5.17,0.158,-5.04,40.0,,9.81,Svalues,41.1206,-24.4157,181,65417117,41.1206411246,-24.41565323076,41.12,-24.417,90,12797,6434-01100-1,328-002944,02442896-2424560,,J024428.92-242458.9,5076927085068493824,10157694,,STAR,tmgaia2,tmgaia2,-38.144,0.192,-255.699,0.162,gaia2,22.5324,0.0701,gaia2,9.086,0.0,8.39,0.03,,,,,,,,,,,7.078,0.027,6.769,0.046,6.618,0.017,AAA-111-111-000-0-0,6.621,0.07,6.614,0.024,6.621,0.015,6.467,0.051,8.19225,0.000298,7.712,0.006,gbprp,spect,5500.1,103.5,4.4385,0.0703,,,0.979,0.043,0.96,0.116,1.0223,0.1962,DWARF,0.79065,0.01755,44.3243,0.1388,0.0,0.0,19,0.0,,,0.0066,0.0,0.0,,0.098,0.135,0.036,0.049,0.2171,0.1752,0.075,0.0656,0.01872,0.01638,0.1383,0.1392,bj2018,93.3,113.8,spect,8.58961,0.00126,7.66843,0.001642,1,hipvmag,apassdr9,,3.04169688803,2.50987032329,41.12046076587,-24.41675415711,0.04867842978,0.0544557677,1,0,519566011
596,0.132094,17190,HIP 12926,12926,0.84,5.84,0.21,-4.87,38.0,,9.55,Svalues,41.5634,25.6499,182,436862182,41.56335929796,25.64990034161,41.564,25.649,90,12926,1772-00530-1,579-006146,02461517+2538598,,,114575472461716864,,,STAR,tmgaia2,tmgaia2,237.607,0.087,-149.012,0.085,gaia2,39.6046,0.0567,gaia2,8.707,0.095,7.869,0.032,,,,,,,,,,,6.367,0.02,6.0,0.036,5.874,0.026,AAA-111-111-000-0-0,,,,,,,,,7.65489,0.000437,7.129,0.006,gbprp,spect,5177.0,145.2,4.5512,0.0934,-0.07,0.1,0.823,0.056,0.88,0.107,1.5759,0.425,DWARF,0.43885,0.0121,25.2312,0.0364,0.0,0.0,53,0.0,,,0.008586,0.0,0.0,,0.11,0.103,0.058,0.055,0.4026,0.4474,0.1067,0.08,0.01266,0.01153,0.0363,0.0364,bj2018,132.7,157.7,spect,8.10695,0.002975,7.08844,0.004632,1,mermil,mermil,,1.38705200902,1.32496964837,41.56449416232,25.64925876655,0.04698722887,0.03919641816,1,0,38159799
597,0.148609,17230,HIP 12929,12929,1.269,7.58,0.915,,,,,Svalues,41.572,11.7752,183,387422624,41.57198672301,11.77523918054,41.573,11.774,90,12929,0643-00708-1,509-004018,02461726+1146309,,,25488745411919360,41395074,,STAR,tmgaia2,tmgaia2,263.849,0.106,-211.596,0.09,gaia2,61.9128,0.0461,gaia2,9.87,0.078,8.593,0.033,,,,,,,,,,,6.285,0.02,5.691,0.034,5.529,0.018,AAA-111-111-000-0-0,,,,,,,,,8.10682,0.000712,7.354,0.006,gbprp,gaia2,4264.0,119.1,4.5376,0.1024,,,0.73,0.063,0.67,0.077,1.7229,0.5298,DWARF,0.15867,0.00994,16.1442,0.0121,0.0,0.0,35,0.0003,,,0.0,0.0,0.0,,0.083,0.07,0.061,0.065,0.4945,0.5651,0.1145,0.0904,0.00997,0.0099,0.0121,0.0121,bj2018,111.8,126.3,dered0,8.84651,0.002319,7.304,0.002799,1,mermil,mermil,,1.6494144294,1.38851133627,41.57314716017,11.77432814454,0.0439522459,0.03609706892,1,0,38114098
598,0.163308,17332 A,HIP 13027,13027,0.68,4.33,0.387,-4.39,6.0,,8.53,Svalues,41.8643,19.3718,184,640830749,41.86425830572,19.37182259833,41.865,19.371,90,,,,,,,84625634714435968,,,STAR,gaia2,gaia2,116.822,0.104,-158.351,0.082,gaia2,30.1041,0.0436,gaia2,,,7.304,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,7.17306,0.000509,6.758,0.006,gbprp,gaia2,5875.0,126.0,,,,,,,,,,,,,,33.1862,0.0484,0.0,0.0,44,1.7273,DUPLICATE,247405885,0.0,0.0,0.0,,,,,,,,,,,,0.0483,0.0485,bj2018,164.3,87.7,dered0,7.51016,0.003818,6.72053,0.003155,1,gaia2,,,1.64290180807,1.27790383688,41.86479147419,19.37114081008,0.04301408614,0.03166158442,1,0,38193053
601,0.172742,17382,HIP 13081,13081,0.82,5.81,0.439,-4.45,12.0,,8.79,Svalues,42.0381,27.0686,185,397368422,42.03812722078,27.06864141171,42.039,27.068,90,13081,1789-01155-1,586-006432,02480915+2704069,,,114832620743735808,46640166,,STAR,tmgaia2,tmgaia2,279.962,0.08,-119.148,0.063,gaia2,43.4108,0.0392,gaia2,8.433,0.084,7.612,0.01,,,,,,,,,,,6.064,0.027,5.691,0.046,5.615,0.024,AAA-111-111-000-0-0,,,,,,,,,7.367,0.000602,6.845,0.006,gbprp,spect,5253.0,145.1,4.5564,0.0957,0.03,0.1,0.828,0.056,0.9,0.113,1.5863,0.423,DWARF,0.47014,0.01217,23.0204,0.0209,0.0,0.0,70,0.0056,,,0.008985,0.0,0.0,,0.091,0.136,0.039,0.073,0.2592,0.5868,0.1206,0.0708,0.01372,0.01063,0.0209,0.0209,bj2018,182.5,107.6,spect,7.81659,0.002452,6.80806,0.002845,1,mermil,mermil,,1.28237886841,0.97450956556,42.03948089107,27.06812841986,0.03892964669,0.02870699654,1,0,38847897
602,0.127498,17433,HIP 13118,13118,0.956,3.72,1.951,,,,,Svalues,42.1822,31.1152,186,77422977,42.18220148656,31.11516460687,42.183,31.114,90,13118,2325-00639-1,606-007621,02484368+3106550,,,130173900330982016,48129755,,STAR,tmgaia2,tmgaia2,217.339,0.135,-164.607,0.139,gaia2,24.2131,0.0784,gaia2,8.45,0.631,6.929,0.023,,,,,,,,,,,5.203,0.284,4.583,0.036,4.354,0.027,DEA-311-111-000-0-0,,,,,,,,,6.61399,0.003198,5.984,0.007,gbprp,spect,4588.8,75.7,,,-0.089,0.0088,2.983,,,,,,GIANT,,,41.2513,0.1345,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,7.18917,0.010756,5.94116,0.009746,1,sirful,apassdr9,,2.16758553916,2.16192568584,42.18329450371,31.11445588689,0.0640100096,0.06074933677,0,0,38704258
603,0.100883,17660,HIP 13258,13258,1.194,7.12,1.014,,,,,Svalues,42.6537,15.7099,187,218291131,42.65372452703,15.70991509364,42.655,15.708,90,13258,1223-00970-1,529-004846,02503683+1542360,,,33439176553394048,42862521,,STAR,tmgaia2,tmgaia2,342.433,0.139,-395.502,0.117,gaia2,42.7647,0.0576,gaia2,10.021,0.235,8.877,0.014,,,,,,,,,,,6.798,0.02,6.301,0.031,6.128,0.017,AAA-111-111-000-0-0,,,,,,,,,8.47948,0.000565,7.785,0.006,gbprp,spect,4713.0,140.3,4.668,0.1038,0.17,0.05,0.665,0.054,0.75,0.091,2.5545,0.8003,DWARF,0.19636,0.00861,23.368,0.0317,0.0,0.0,22,0.0001,,,0.0,0.0,0.0,,0.084,0.098,0.063,0.045,0.8003,0.8002,0.1101,0.0975,0.00953,0.00768,0.0317,0.0317,bj2018,115.9,164.7,spect,9.13934,0.002103,7.73985,0.003236,1,mermil,mermil,,2.17010277877,1.8067797301,42.65525610351,15.70821224316,0.05899562062,0.04517042041,1,0,38730018
604,0.087298,18144,HIP 13601,13601,0.749,5.33,0.203,-4.84,31.0,,9.49,Svalues,43.8225,16.3092,188,257918985,43.82252316245,16.30919031261,43.823,16.309,90,13601,1224-00346-1,532-004852,02551740+1618331,,J025517.56+161832.7,34959010860594176,42865274,,STAR,tmgaia2,tmgaia2,204.316,0.152,-46.601,0.129,gaia2,37.2249,0.0722,gaia2,8.162,0.024,7.41,0.03,,,,,,,,,,,6.08,0.029,5.678,0.033,5.662,0.027,AAA-111-111-000-0-0,5.736,0.147,5.596,0.058,5.704,0.015,5.649,0.044,7.21024,0.000306,6.738,0.006,gbprp,spect,5483.5,137.6,4.4753,0.0867,0.07,0.03,0.939,0.055,0.96,0.124,1.1606,0.2845,DWARF,0.71774,0.01723,26.843,0.0524,0.0,0.0,36,0.0003,,,0.0,0.0,0.0,,0.114,0.134,0.049,0.062,0.2466,0.3224,0.1074,0.0661,0.01614,0.01832,0.0523,0.0525,bj2018,128.8,146.5,spect,7.60799,0.001979,6.70315,0.003854,1,hipvmag,tycho2b3,,2.38829253816,2.00045612595,43.82343973915,16.30898967052,0.05569613194,0.05322263011,1,0,39731582
605,0.164804,18143,HIP 13642,13642,0.953,5.72,0.188,,,,,Svalues,43.9127,26.8732,189,436933294,43.91274821638,26.87321568094,43.914,26.872,90,13642,1789-01429-1,585-006744,02553900+2652241,,,116037204451525376,,,STAR,tmgaia2,tmgaia2,264.469,0.095,-193.427,0.073,gaia2,44.3676,0.045,gaia2,8.471,0.182,7.518,0.091,,,,,,,,,,,5.95,0.019,5.548,0.017,5.427,0.018,AAA-111-111-000-0-0,,,,,,,,,7.33209,0.000336,6.78,0.006,gbprp,gaia2,5078.0,128.0,4.4645,0.0882,,,0.894,0.056,0.85,0.103,1.1883,0.3007,DWARF,0.47914,0.01257,22.5243,0.023,0.0,0.0,39,0.2302,,,0.007845,0.0,0.0,,0.11,0.097,0.047,0.064,0.2532,0.3481,0.0826,0.0937,0.01162,0.01352,0.023,0.023,bj2018,141.0,115.0,dered0,7.81982,0.004191,6.74557,0.003263,1,mermil,mermil,,1.5204458681,1.13622483085,43.91402475737,26.87238287598,0.03986428283,0.03102235862,1,0,39944250
606,0.191417,18262,HIP 13679,13679,0.478,2.73,0.14,-5.04,7.0,,9.8,Svalues,44.0574,8.3816,190,387541497,44.05736440453,8.38156016169,44.058,8.381,90,13679,0641-00763-1,492-004179,02561376+0822534,,J025613.82+082252.7,8810116091022208,,,STAR,tmgaia2,tmgaia2,66.223,0.127,-88.968,0.105,gaia2,23.4189,0.0639,gaia2,6.429,0.024,5.969,0.023,,,,,,,,,,,5.134,0.037,4.974,0.098,4.845,0.02,EEA-111-111-000-0-0,4.835,0.223,4.659,0.108,4.895,0.015,4.691,0.033,5.85856,0.001086,5.532,0.006,gbprp,spect,6463.4,105.5,3.9727,0.0802,0.311,0.0285,1.956,0.073,1.31,0.206,0.1751,0.0367,DWARF,6.01422,0.22283,42.6483,0.1171,0.0,0.0,31,0.0007,,,0.002813,0.0,0.0,,0.169,0.242,0.074,0.072,0.0241,0.0493,0.1054,0.0551,0.20329,0.24237,0.1168,0.1174,bj2018,110.2,100.7,spect,6.11343,0.003321,5.49531,0.003506,1,sirful,tycho2b3,,1.9715602621,1.62119308119,44.0576526087,8.38117710512,0.06031292248,0.04653741356,1,0,40764450
607,0.349884,18445,HIP 13769,13769,0.96,5.79,0.415,,,,,Svalues,44.3049,-24.9751,191,88348777,44.30500509642,-24.97508077252,44.305,-24.975,90,13769,6437-00959-1,326-002958,02571317-2458305,,J025713.17-245830.8,5076269164798853120,10162590,,STAR,gaia2,gaia2,1.073,0.678,-40.46,0.695,gaia2,40.2592,0.364,gaia2,8.721,0.007,7.84,0.03,,,,,,,,,,,6.086,0.026,5.542,0.034,5.421,0.024,AAA-111-111-000-0-0,5.469,0.047,5.288,0.024,5.474,0.013,5.371,0.03,7.51097,0.000246,6.909,0.006,gbprp,spec7,4837.0,,4.4546,,-0.08,0.1,0.868,,0.783,,1.1965,,DWARF,0.3718,,24.8251,0.2261,0.0,0.0,25,2.303,,,0.005693,0.0,0.0,,,,,,,,,,,,0.2241,0.228,bj2018,,,spect,8.04923,0.001949,6.86575,0.002656,1,hipvmag,apassdr9,,10.76003222507,10.76960708163,44.30501019137,-24.97525497487,0.25222676176,0.26435956144,1,0,520139623
609,0.173363,18632,HIP 13976,13976,0.926,6.12,0.616,,,,,Svalues,45.0117,7.7498,192,387609654,45.01171688132,7.74975484216,45.013,7.75,90,13976,0641-00305-1,489-004153,03000280+0744590,,,8479094371605632,38346456,,STAR,tmgaia2,tmgaia2,327.903,0.096,21.242,0.093,gaia2,42.0359,0.0668,gaia2,8.877,0.0,7.97,0.03,,,,,,,,,,,6.323,0.02,5.951,0.042,5.841,0.024,AAA-111-111-000-0-0,,,,,,,,,7.70843,0.000721,7.141,0.006,gbprp,spect,5051.0,109.3,4.5514,0.0816,0.2,0.1,0.804,0.044,0.84,0.101,1.6136,0.3808,DWARF,0.37948,0.00923,23.7729,0.038,0.0,0.0,32,0.0104,,,0.008853,0.0,0.0,,0.083,0.118,0.048,0.041,0.3685,0.393,0.0842,0.0791,0.00798,0.01048,0.0379,0.0381,bj2018,88.7,129.9,spect,8.21772,0.004435,7.11101,0.006487,1,hipvmag,apassdr9,,1.49949745756,1.44071153019,45.01314169952,7.74984630486,0.05763161112,0.04778060982,1,0,41654264
610,0.383671,18907,HIP 14086,14086,0.794,3.47,0.143,-5.13,45.0,,9.94,Svalues,45.4068,-28.0916,193,88405751,45.40679370344,-28.0914935695,45.408,-28.093,90,14086,6444-00112-1,310-003116,03013762-2805289,,,5071514326764428288,,,STAR,tmgaia2,tmgaia2,271.744,0.111,-442.885,0.121,gaia2,31.2461,0.0919,gaia2,6.681,0.019,5.88,0.03,,,,,,,,,,,4.364,0.276,3.793,0.244,3.824,0.306,DDD-333-111-000-0-0,,,,,,,,,5.63963,0.000964,5.107,0.006,gbprp,spect,5099.4,14.4,,,-0.5996,0.008,2.74,,,,,,GIANT,,,31.9748,0.0947,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,bj2018,,,spect,6.08753,0.001224,5.05566,0.001325,1,hipvmag,tycho2b3,,1.77805382801,1.86996911654,45.40811994824,-28.09340044187,0.05168161957,0.06285351344,0,0,520349138
611,0.196662,18803,HIP 14150,14150,0.696,4.99,0.185,-4.88,27.0,,9.56,Svalues,45.6084,26.6092,194,34691643,45.60844284852,26.60923894352,45.61,26.609,90,14150,1790-00948-1,584-007142,03022598+2636334,,,115311458058061440,46645731,,STAR,tmgaia2,tmgaia2,233.122,0.12,-168.438,0.124,gaia2,47.1551,0.0603,gaia2,7.332,0.022,6.616,0.022,,,,,,,,,,,5.34,0.021,5.024,0.015,4.951,0.016,AEA-111-111-000-0-0,,,,,,,,,6.44262,0.000347,5.991,0.006,gbprp,spect,5648.0,102.6,4.4494,0.0721,0.08,0.1,0.987,0.041,1.0,0.128,1.0398,0.2032,DWARF,0.89323,0.02093,21.1936,0.0273,0.0,0.0,64,0.0025,,,0.007615,0.0,0.0,,0.142,0.113,0.038,0.044,0.1959,0.2105,0.0748,0.0694,0.02565,0.01622,0.0272,0.0274,bj2018,104.5,100.8,spect,6.8157,0.001285,5.95259,0.003425,1,mermil,mermil,,1.90717256096,1.92634617698,45.60956547452,26.60851372876,0.046841645,0.04260373156,1,0,41312970
612,0.066073,18940,HIP 14230,14230,0.624,4.45,0.258,-4.6,11.0,,9.12,Svalues,45.8694,23.0615,195,61105191,45.86939625896,23.06148197192,45.87,23.061,90,14230,1782-00090-1,566-006140,03032864+2303411,,J030328.73+230341.2,109931856900594432,,,STAR,tmgaia2,tmgaia2,110.09,2.0,-2.4,2.0,sblink,29.62,1.09,hip,7.68,0.022,7.056,0.023,,,,,,,,,,,5.86,0.023,5.59,0.024,5.5,0.021,AAA-111-111-000-0-0,5.46,0.182,5.294,0.059,5.486,0.016,5.411,0.042,6.88604,0.000371,6.463,0.006,gbprp,spec7,5804.0,,,,,,,,,,,,DWARF,,,33.761,,,,54,0.005,,,,,,,,,,,,,,,,,,,hip,,,spect,7.22979,0.001948,6.42522,0.002901,0,sirful,tycho2b3,,31.644796382,31.0060352161,45.86991142722,23.06147163942,0.61899551016,0.6117350912,-1,0,41325049
614,0.101957,19034,HIP 14241,14241,0.677,5.34,0.18,-4.9,26.0,,9.59,Svalues,45.9123,-5.6663,196,439911365,45.9123283449,-5.66629745101,45.914,-5.667,90,14241,4713-00839-1,422-003769,03033892-0539583,,,5181087291900789760,2916300,,STAR,tmgaia2,tmgaia2,333.487,0.104,-263.712,0.123,gaia2,26.5745,0.0731,gaia2,8.746,0.018,8.08,0.03,,,,,,,,,,,6.797,0.021,6.441,0.023,6.376,0.027,AAA-111-111-000-0-0,,,,,,,,,7.89507,0.000382,7.436,0.006,gbprp,spect,5536.0,108.3,4.4802,0.0731,-0.38,0.1,0.938,0.042,0.97,0.122,1.1744,0.2398,DWARF,0.74492,0.01693,37.5896,0.1041,0.0,0.0,28,0.0001,,,0.006905,0.0,0.0,,0.083,0.162,0.048,0.036,0.2186,0.2609,0.0603,0.0859,0.02089,0.01296,0.1038,0.1044,bj2018,85.8,130.8,spect,8.27376,0.002801,7.39464,0.00274,1,hipvmag,apassdr9,,1.61415207101,1.91146120581,45.91377124197,-5.66743287948,0.04721413992,0.05865668427,1,0,520432513
615,0.105105,19019,HIP 14258,14258,0.52,4.27,0.211,-4.68,7.0,,9.24,Svalues,45.9617,6.1333,197,365294034,45.96172932627,6.1333014799,45.963,6.134,90,14258,0061-00481-1,481-004297,03035081+0607598,,J030350.97+060800.4,6963761190199424,38123136,,STAR,tmgaia2,tmgaia2,232.053,0.142,49.804,0.155,gaia2,31.8837,0.0704,gaia2,7.474,0.023,6.92,0.023,,,,,,,,,,,5.882,0.029,5.645,0.071,5.57,0.016,AAA-111-111-000-0-0,5.542,0.198,5.43,0.052,5.599,0.016,5.544,0.044,6.77527,0.000435,6.394,0.006,gbprp,spect,6096.0,134.3,4.4423,0.0833,-0.03,0.1,1.063,0.051,1.14,0.155,0.9503,0.2137,DWARF,1.40467,0.04245,31.3358,0.0697,0.0,0.0,29,0.0007,,,0.006579,0.0,0.0,,0.14,0.171,0.05,0.052,0.1865,0.241,0.071,0.0956,0.05094,0.03396,0.0695,0.0698,bj2018,94.6,173.9,spect,7.08367,0.002332,6.36117,0.002628,1,sirful,tycho2b3,,2.20880747442,2.40019448414,45.96273419522,6.13351591559,0.0480149071,0.05606915061,1,0,41636484
616,0.062406,19467,HIP 14501,14501,0.645,4.48,0.156,-5.02,25.0,,9.78,Svalues,46.8274,-13.7618,198,441501782,46.82739598283,-13.7617831099,46.827,-13.763,90,14501,5300-00583-1,382-003406,03071857-1345421,,J030718.56-134545.0,5155981730587168768,5120002,,STAR,tmgaia2,tmgaia2,-8.685,0.07,-260.566,0.077,gaia2,31.2255,0.041,gaia2,7.637,0.022,6.971,0.023,,,,,,,,,,,5.801,0.02,5.447,0.036,5.401,0.026,AAA-111-111-000-0-0,5.359,0.163,5.182,0.057,5.406,0.015,5.322,0.03,6.79837,0.000414,6.364,0.006,gbprp,spect,5747.0,111.9,4.2797,0.0728,-0.09,0.1,1.218,0.054,1.03,0.122,0.5703,0.1141,DWARF,1.45757,0.03657,31.9955,0.0422,0.0,0.0,16,0.0,,,0.00579,0.0,0.0,,0.114,0.13,0.043,0.064,0.0963,0.1319,0.0717,0.0738,0.03059,0.04254,0.0422,0.0423,bj2018,86.5,137.3,spect,7.16217,0.002776,6.33416,0.005271,1,sirful,tycho2b3,,1.09682405742,1.19645859352,46.82735748598,-13.76290499129,0.03534164522,0.03682835137,1,0,520635105
617,0.091905,19308,HIP 14532,14532,0.672,4.21,0.156,-5.03,29.0,,9.79,Svalues,46.9142,36.6176,199,186807955,46.91418188638,36.6176209849,46.915,36.617,90,14532,2351-00702-1,634-010907,03073939+3637037,,,138972467251590656,,,STAR,tmgaia2,tmgaia2,241.022,0.095,-217.657,0.08,gaia2,25.7027,0.0654,gaia2,8.024,0.026,7.36,0.03,,,,,,,,,,,6.157,0.021,5.908,0.023,5.84,0.017,AAA-111-111-000-0-0,,,,,,,,,7.20624,0.000306,6.782,0.006,gbprp,spect,5795.0,145.5,4.2942,0.0844,0.13,0.1,1.203,0.068,1.04,0.136,0.5967,0.1407,DWARF,1.47156,0.04216,38.8631,0.0994,0.0,0.0,125,0.002,,,0.005299,0.0,0.0,,0.154,0.119,0.049,0.086,0.1228,0.1586,0.0802,0.0886,0.04342,0.04091,0.0992,0.0996,bj2018,171.8,119.1,spect,7.55733,0.002089,6.74864,0.003386,1,hipvmag,tycho2b3,,1.54511378631,1.24298574604,46.91547479638,36.61668385757,0.05962464363,0.04071319222,1,0,42362622
618,0.18931,19632,HIP 14623,14623,0.678,4.89,0.319,-4.5,10.0,,8.94,Svalues,47.2185,-24.8876,200,88481300,47.21852363937,-24.88764801511,47.22,-24.887,90,14623,6438-01047-1,326-003205,03085242-2453157,,J030852.60-245314.0,5074588389476852736,10167774,,STAR,tmgaia2,tmgaia2,225.765,0.06,135.91,0.075,gaia2,33.9382,0.0355,gaia2,7.969,0.022,7.29,0.03,,,,,,,,,,,6.121,0.02,5.84,0.04,5.728,0.029,AAA-111-111-000-0-0,5.681,0.146,5.616,0.048,5.723,0.015,5.685,0.036,7.11407,0.000357,6.672,0.006,gbprp,spect,5769.1,106.2,4.4858,0.072,0.112,0.009,0.961,0.041,1.03,0.128,1.1618,0.2269,DWARF,0.92099,0.02339,29.4403,0.031,0.0,0.0,28,0.0005,,,0.008425,0.0,0.0,,0.148,0.108,0.036,0.046,0.2342,0.2196,0.0816,0.0623,0.02113,0.02566,0.031,0.031,bj2018,86.5,125.9,spect,7.4802,0.002129,6.63636,0.003383,1,hipvmag,tycho2b3,,0.94856827859,1.16121820322,47.21959519323,-24.88706285088,0.02468716305,0.02896102633,1,0,520773227
