hpic_name,tess_id,period_var(d),period_var_uncert(d),amp_var(ppm),amp_var_uncert(d),RMS(ppm)
TIC 370617416,370617416,3.014204,0.126334,532.859384,1.825144,600.601520
TIC 35055332,35055332,0.201758,0.000610,85.344072,1.792591,233.788767
TIC 120931911,120931911,2.927153,0.111824,70.096334,1.979981,249.299860
TIC 289624436,289624436,5.387593,0.479942,334.154459,1.983404,394.042042
TIC 287257235,287257235,9.400857,1.023151,86.578631,1.947629,406.512871
TIC 233466076,233466076,10.564238,1.664874,2780.643505,3.043895,2310.276003
TIC 198285529,198285529,4.675234,0.286804,3400.087373,2.208694,2826.330550
TIC 257558320,257558320,5.302097,0.372852,238.484991,2.414254,370.250884
TIC 402133995,402133995,2.202768,0.061363,42.938692,2.299944,283.327199
TIC 257444121,257444121,7.659987,0.767199,45.489712,1.820870,201.830898
TIC 183587877,183587877,7.143787,0.840986,195.088528,2.077666,308.914888
TIC 242826461,242826461,1.894288,0.046956,132.261373,2.496980,279.554175
TIC 450491293,450491293,3.331980,0.192765,107.037778,2.485648,302.853887
TIC 234831602,234831602,0.580781,0.005087,40.095392,1.826750,245.381991
TIC 383473544,383473544,8.945836,1.205789,2835.774709,2.163908,2384.225297
TIC 28199267,28199267,4.186007,0.338905,122.738895,2.413481,311.782217
TIC 210119810,210119810,10.082371,1.319422,150.665759,2.127070,255.726537
TIC 78004131,78004131,0.866415,0.012088,1188.030804,1.927834,1091.462767
TIC 19970087,19970087,7.679290,0.864498,231.564105,1.893892,371.166416
TIC 430595969,430595969,11.540882,1.960718,592.031742,3.829513,638.044788
TIC 401808730,401808730,2.780276,0.105774,910.651515,1.945491,853.393366
TIC 176017171,176017171,1.542069,0.037447,247.727365,2.485164,385.542598
TIC 400231203,400231203,5.961059,0.572270,65.660433,1.981015,237.431381
TIC 186363552,186363552,7.215302,0.627013,557.953113,1.955834,597.543817
TIC 119514195,119514195,4.296935,0.247805,447.713120,2.176517,458.290061
TIC 201293664,201293664,10.442994,1.523546,550.421128,2.213452,601.557607
TIC 372121208,372121208,3.693104,0.171537,716.603192,1.870530,1137.170380
TIC 316806062,316806062,8.430586,1.056626,50.048303,2.082548,237.731985
TIC 422278444,422278444,4.952488,0.434541,101.804166,1.989414,244.977554
TIC 268721219,268721219,2.841916,0.106533,1052.115071,1.810457,829.560782
TIC 435845665,435845665,4.273423,0.372121,141.854602,1.919589,345.745303
TIC 34920,34920,2.431517,0.094893,435.753259,1.900626,554.203875
TIC 20304188,20304188,4.632618,0.474533,81.325549,2.722989,240.171663
TIC 270258076,270258076,9.025872,1.351798,68.267051,1.794325,342.429746
TIC 365006720,365006720,10.365043,1.899885,3537.141955,2.157988,3010.747579
TIC 402066136,402066136,5.367696,0.371233,1299.471806,2.000901,1344.627913
TIC 156067565,156067565,5.456980,0.381112,56.589194,2.282247,259.629569
TIC 56773393,56773393,0.698542,0.006935,169.718807,2.000547,328.674397
TIC 144135094,144135094,10.727484,2.364994,74.426943,2.148260,240.699642
TIC 51444663,51444663,2.386259,0.074876,39.667418,2.175628,245.476568
TIC 89184917,89184917,0.760407,0.008904,362.443158,1.930798,421.384531
TIC 28003343,28003343,5.069047,0.462960,48.086841,1.917425,208.315098
TIC 24921603,24921603,4.323533,0.265140,72.166292,1.928877,256.130463
TIC 183356952,183356952,0.205967,0.000593,65.169475,2.113473,231.454405
TIC 50587969,50587969,2.523223,0.115152,43.706959,2.044347,240.533271
TIC 176640151,176640151,3.787168,0.319693,43.463220,2.110870,214.626368
TIC 102030,102030,0.163179,0.000371,36.663524,1.927428,246.242490
TIC 115319029,115319029,10.744630,1.624172,143.952768,2.080976,272.225240
TIC 271677262,271677262,6.663707,0.706038,557.484441,2.014246,596.335962
TIC 154717941,154717941,12.630819,2.379097,568.420302,1.983124,606.928042
TIC 77929282,77929282,8.535681,1.011694,747.064898,2.496369,714.032502
TIC 219234564,219234564,7.546734,0.756234,199.073409,2.089605,329.407526
TIC 156638998,156638998,3.279741,0.158524,324.650197,1.997386,470.590205
TIC 453207964,453207964,5.762204,0.492229,77.515631,2.091764,308.405393
TIC 37750558,37750558,2.332870,0.086834,1890.241777,4.661777,1770.790185
TIC 17154445,17154445,12.194108,2.161882,616.548527,2.004532,595.179721
TIC 323138830,323138830,1.847901,0.058613,37.739132,2.938813,226.297827
TIC 241682179,241682179,0.122781,0.000216,513.489733,1.915428,482.437917
TIC 399733863,399733863,0.762831,0.008250,174.082889,2.179694,325.826563
TIC 311223680,311223680,6.736807,0.896080,41.632595,2.056874,240.833980
TIC 435290852,435290852,2.138220,0.068056,157.867183,2.087500,299.018798
TIC 168442621,168442621,4.451938,0.296086,63.675694,1.944716,243.093681
TIC 67899233,67899233,2.187854,0.068834,54.559136,2.251071,263.399156
TIC 349606708,349606708,3.221701,0.144149,2204.588707,3.431110,1938.503451
TIC 36757950,36757950,4.283913,0.289914,61.234609,1.951306,272.915146
TIC 50226706,50226706,11.455683,2.074074,61.342335,2.018680,212.604781
TIC 168441252,168441252,4.353694,0.309322,126.654090,1.906217,252.240505
TIC 6953932,6953932,5.487419,0.528510,72.153020,2.144023,301.913182
TIC 214519665,214519665,2.094760,0.077322,218.385832,2.185533,396.205029
TIC 109132460,109132460,1.913589,0.044665,38.997621,2.390217,207.184118
TIC 72465347,72465347,4.776078,0.308347,87.728633,2.226459,293.002441
TIC 361082817,361082817,6.543017,0.521924,104.764268,1.926017,277.432031
TIC 281446108,281446108,11.038067,1.556860,2263.472214,2.346134,1752.571718
TIC 426400173,426400173,7.308125,0.761397,75.673115,2.096111,321.359179
TIC 375520221,375520221,3.550898,0.157354,51.472611,2.591005,226.967219
TIC 424621975,424621975,8.134304,0.923510,100.694195,2.145771,252.541384
TIC 121286109,121286109,9.537086,1.488231,2145.803863,1.900396,1641.872725
TIC 336959732,336959732,8.333211,1.087039,57.065556,2.076478,227.457808
TIC 38086286,38086286,8.482944,1.217009,81.991155,2.063078,251.844477
TIC 337438474,337438474,1.520193,0.037587,180.100034,1.953687,294.509419
TIC 65652471,65652471,6.407081,0.615301,75.068893,2.085337,301.014391
TIC 360689837,360689837,1.549540,0.039692,420.284646,1.972374,498.930843
TIC 79881477,79881477,5.734768,0.579413,50.270777,2.187154,260.844726
TIC 12395998,12395998,7.527760,0.681068,66.201707,2.211345,283.541923
TIC 441716374,441716374,6.061646,0.649840,71.090721,2.148254,236.877732
TIC 470680809,470680809,3.893367,0.262829,34.746535,2.374067,200.368159
TIC 409941263,409941263,3.340447,0.175622,39.165260,2.195027,225.600345
TIC 71148871,71148871,0.587993,0.004939,91.939846,2.351204,510.352892
TIC 446169154,446169154,6.171603,0.474984,69.430365,2.211005,248.717032
TIC 368894360,368894360,2.293910,0.066891,44.612474,3.019538,271.988841
TIC 461597067,461597067,3.638415,0.212645,104.820428,1.959410,240.842963
TIC 148817620,148817620,10.169292,1.909246,783.065955,3.515867,2373.795201
TIC 405501056,405501056,3.146379,0.152113,33.963557,1.951122,204.362894
TIC 169108295,169108295,11.438847,1.882508,38.966978,2.011512,214.691126
TIC 38510324,38510324,2.901339,0.117474,70.229452,2.131309,250.948000
TIC 393055414,393055414,1.643750,0.046986,34.118521,3.065672,238.659336
TIC 308019693,308019693,5.319537,0.484011,603.805923,2.056804,546.914815
TIC 245327925,245327925,6.627297,0.652911,100.960142,2.027165,361.659926
TIC 99842694,99842694,5.956784,0.512466,603.145097,1.997324,626.582518
TIC 270582021,270582021,8.459267,1.071360,74.117546,2.365720,289.696818
TIC 332146607,332146607,10.631001,1.471032,12892.125155,2.710472,13808.821150
TIC 141186075,141186075,6.216917,0.784877,67.639765,1.955851,222.148996
TIC 231005004,231005004,1.015829,0.018100,1026.989982,2.084397,1099.792135
