,star_name,gaiadr3,HD,logRhk
303,TIC 43866397,3182634954624823168,HD33725,-4.98
304,TIC 167415965,5266722205277801984,HD48611,-4.79
305,TIC 340697083,5488567574038257280,HD63765,-4.74
306,TIC 184269804,5541950959521537792,HD71835,-4.94
307,TIC 393844873,5640565607657897728,HD72673,-4.91
308,TIC 352510765,6370513647703084544,HD205536,-5.02
309,TIC 53952985,6617495364101129728,HD208272,-4.49
310,TIC 47526465,6610107504955838336,HD216770,-4.96
311,TIC 316781121,2324785228033780608,HD222335,-4.75
312,TIC 167814656,5479222240596469632,HD53143,-4.46
313,TIC 197792776,4729947569262040960,HD21693,-4.91
314,TIC 28117238,5042876584345665280,HD9796,-4.89
315,TIC 67772871,3195919528989223040,HD26965,-4.94
316,TIC 389506883,4657193606465368704,HD39194,-4.94
317,TIC 89712532,5321012172453217152,HD72579,-5.09
318,TIC 149743134,5761566656125168512,HD74014,-5.07
319,TIC 386899832,5300239064919282816,HD80883,-4.69
320,TIC 32820141,5424836719001215360,HD83443,-4.95
321,TIC 36954567,3775795982881589376,HD90711,-5.02
322,TIC 193136060,5468679229755326848,HD90812,-4.92
323,TIC 389214310,5380306876026603648,HD104006,-4.97
324,TIC 189694184,3650718804281798912,HD130322,-4.74
325,TIC 129855305,4063687056632310784,HD162236,-4.72
326,TIC 250205478,2684228223537656576,HD203384,-5.05
327,TIC 301232495,2644804409490009600,HD220256,-5.01
328,TIC 29900813,2477815222028038272,HD10008,-4.40
329,TIC 160004049,4852870701505115904,HD21175,-4.75
330,TIC 439410069,2468730472844294016,HD7661,-4.41
331,TIC 160186610,2985258942263094016,HD34688,-4.92
332,TIC 32550429,2456361448068627712,HD8389A,-5.02
333,TIC 20856917,6029992663310612096,HD154088,-5.05
334,TIC 279246287,5485320853638354304,HD51608,-4.99
335,TIC 87989721,6724520279784564864,HD166724,-4.72
336,TIC 49427341,3786035184916139136,HD100777,-5.11
337,TIC 269613621,3245657582441858688,HD25673,-4.92
338,TIC 290716988,4795598309045006208,HD37572,-4.56
339,TIC 340637365,5294069567720884480,HD63608,-4.40
340,TIC 203230367,3642413746280598784,HD125455,-4.91
341,TIC 446137194,5406324138654973824,HD85390,-4.95
342,TIC 326538408,5856411869205581568,HD109200,-4.94
343,TIC 292113181,3684934540986187776,HD114783,-4.95
344,TIC 207585172,5872022185537043328,HD119782,-4.72
345,TIC 308311310,6303961686341504512,HD124106,-4.61
346,TIC 206828302,5835498883232034816,HD144628,-4.91
347,TIC 267083739,4703237305087371392,HD224789,-4.44
348,TIC 58092025,4358031335898505472,HD149661,-4.52
349,TIC 30016911,5160075762132996992,HD17925,-4.31
350,TIC 188043641,5455707157211784832,HD92945,-4.32
351,TIC 52121796,4704957491028733824,HD7199,-4.99
352,TIC 280859200,5236623864770649600,HD100508,-5.05
353,TIC 273984891,4632033344389469184,HD13060,-4.84
354,TIC 120896927,5068777809824976256,HD15337,-4.90
355,TIC 185267623,4066590798160123776,HD165920,-5.09
356,TIC 169303631,2326210435622357120,HD223121,-4.94
357,TIC 38511251,5164120762333028736,HD23249,-5.20
