,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
355,HD 221356,45,33,4285,242,b'2003-10-25T02:05:59.520',b'2015-07-19T09:42:09.403',6.516,0.537,38.514,b'F8',6112,2.781,1.335,0.1643,0.1642,0.0006,0.0009,-4.875,-4.8755,0.0033,1.333,1.332,0.01,0.016,352.88126,-4.0874,2633449134434619904
356,HD 221420,74,31,4425,174,b'2003-10-25T02:21:48.561',b'2015-12-06T00:57:32.385',5.813,0.679,32.083,b'G1',5847,3.717,1.096,0.1344,0.135,0.0006,0.0019,-5.2826,-5.2771,0.0063,0.522,0.528,0.008,0.024,353.33158,-77.38533,6353376831270493184
357,HD 221575,29,19,3183,77,b'2008-09-15T03:56:27.789',b'2017-06-03T08:43:10.763',8.809,0.89,29.407,b'K2',5054,4.597,4.21,0.5545,0.5591,0.0022,0.0223,-4.4252,-4.4212,0.0019,3.757,3.791,0.016,0.166,353.34928,-12.66462,2433113374210098176
358,HD 221627,7,5,8,224,b'2005-11-27T01:08:12.446',b'2005-12-06T00:30:57.868',6.815,0.668,20.54,b'G1',5849,4.084,1.027,0.1405,0.1405,0.0006,0.0004,-5.2215,-5.2219,0.0054,0.601,0.6,0.007,0.005,353.39498,17.81883,2820870374678607872
359,HD 222237,54,43,4433,153,b'2003-10-28T01:48:02.689',b'2015-12-17T01:57:21.204',7.109,0.996,87.331,b'K4',4722,6.949,4.942,0.2589,0.2526,0.001,0.0217,-4.9107,-4.9226,0.0018,1.228,1.195,0.005,0.115,354.90578,-72.72215,6380214844952702976
360,HD 222335,52,41,5328,170,b'2003-10-25T03:09:19.355',b'2018-05-27T10:08:56.496',7.186,0.804,54.789,b'K0',5271,5.373,3.874,0.2453,0.2427,0.0008,0.017,-4.7775,-4.7841,0.0021,1.669,1.644,0.008,0.163,354.96378,-32.74341,2324785228033780736
361,HD 222422,7,7,2113,139,b'2003-10-28T02:40:13.867',b'2009-08-10T06:34:02.732',7.607,0.737,38.054,b'G8',5475,3.122,1.669,0.226,0.226,0.0008,0.0052,-4.7861,-4.7861,0.0024,1.637,1.636,0.009,0.06,355.15772,-18.98889,2390702771185162240
362,HD 222582,47,25,3419,151,b'2004-07-16T08:44:44.518',b'2013-11-25T01:07:33.651',7.66,0.641,23.691,b'G2',5779,8.085,1.48,0.1631,0.1629,0.0007,0.002,-4.9887,-4.9899,0.0042,1.026,1.024,0.01,0.029,355.46471,-5.98576,2440578577126302208
363,HD 222595,34,28,1687,134,b'2003-12-14T01:36:17.432',b'2008-07-27T09:36:02.257',7.98,0.7,26.39,b'G5',5648,3.01,1.102,0.2035,0.2106,0.0008,0.0164,-4.8378,-4.8117,0.003,1.453,1.543,0.01,0.207,355.55275,-53.42332,6498197630933904384
364,HD 222669,73,66,4360,127,b'2003-12-17T01:50:30.670',b'2016-10-06T02:58:04.748',7.646,0.596,25.066,b'G1',5894,2.083,0.72,0.1833,0.1835,0.0008,0.0043,-4.8387,-4.8376,0.0038,1.45,1.454,0.013,0.068,355.98901,-82.5085,6350283492745097216
