hpic_name,tess_id,SuperWASP_ID,period,Amp
TIC 70563385,70563385,1SWASPJ091643.97-244742.8,1.6192986834490741,0.2126234769821167
TIC 76193813,76193813,1SWASPJ181402.56+385255.1,20.910245949074074,0.08250147104263306
TIC 79403675,79403675,1SWASPJ212049.95-530203.1,3.5813078703703702,0.33035457134246826
TIC 85334035,85334035,1SWASPJ111151.75+333211.2,7.766919849537037,0.5586381256580353
TIC 101011575,101011575,1SWASPJ083845.26-131524.1,11.710944733796296,0.09545564651489258
TIC 165204611,165204611,1SWASPJ070323.18+344151.6,1.3298368778935183,0.5801859498023987
TIC 206622446,206622446,1SWASPJ013355.18-553124.8,16.49140335648148,0.19494414329528809
TIC 236746695,236746695,1SWASPJ165901.73+293805.8,44.96699363425926,0.13773083686828613
TIC 267083739,267083739,1SWASPJ000040.32-694033.4,16.260010127314818,0.19745409488677979
TIC 272572357,272572357,1SWASPJ130836.53+504913.8,1.5017277922453705,0.20508021116256714
TIC 318210930,318210930,1SWASPJ093010.78+533859.5,0.11385796435185185,0.7850676774978638
TIC 438007268,438007268,1SWASPJ061929.49+135702.9,0.34484377256944443,1.0054519772529602
TIC 459191811,459191811,1SWASPJ120314.85+475033.3,11.218987268518518,0.18046468496322632
